Date and time,Voltage AC L1 | Symo Advanced 20.0-3-M (1),Voltage AC L2 | Symo Advanced 20.0-3-M (1),Voltage AC L3 | Symo Advanced 20.0-3-M (1),Consumed directly,Consumption,Energy from grid,Energy to grid,PV production,
[dd.MM.yyyy HH:mm],[V],[V],[V],[Wh],[Wh],[Wh],[Wh],[Wh],
18.05.2024 00:00,   0.00   ,   0.00   ,   0.00   ,   0.00   , 240.00   , 240.00   ,   0.00   ,   0.00   ,
18.05.2024 00:05,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 00:10,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 00:15,   0.00   ,   0.00   ,   0.00   ,   0.00   , 182.00   , 182.00   ,   0.00   ,   0.00   ,
18.05.2024 00:20,   0.00   ,   0.00   ,   0.00   ,   0.00   , 290.00   , 290.00   ,   0.00   ,   0.00   ,
18.05.2024 00:25,   0.00   ,   0.00   ,   0.00   ,   0.00   , 278.00   , 278.00   ,   0.00   ,   0.00   ,
18.05.2024 00:30,   0.00   ,   0.00   ,   0.00   ,   0.00   , 184.00   , 184.00   ,   0.00   ,   0.00   ,
18.05.2024 00:35,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 00:40,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 00:45,   0.00   ,   0.00   ,   0.00   ,   0.00   , 214.00   , 214.00   ,   0.00   ,   0.00   ,
18.05.2024 00:50,   0.00   ,   0.00   ,   0.00   ,   0.00   , 284.00   , 284.00   ,   0.00   ,   0.00   ,
18.05.2024 00:55,   0.00   ,   0.00   ,   0.00   ,   0.00   , 246.00   , 246.00   ,   0.00   ,   0.00   ,
18.05.2024 01:00,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 01:05,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 01:10,n/a,n/a,n/a,   0.00   ,  66.00   ,  66.00   ,   0.00   ,   0.00   ,
18.05.2024 01:15,   0.00   ,   0.00   ,   0.00   ,   0.00   ,  66.00   ,  66.00   ,   0.00   ,   0.00   ,
18.05.2024 01:20,   0.00   ,   0.00   ,   0.00   ,   0.00   , 284.00   , 284.00   ,   0.00   ,   0.00   ,
18.05.2024 01:25,   0.00   ,   0.00   ,   0.00   ,   0.00   , 228.00   , 228.00   ,   0.00   ,   0.00   ,
18.05.2024 01:30,   0.00   ,   0.00   ,   0.00   ,   0.00   , 272.00   , 272.00   ,   0.00   ,   0.00   ,
18.05.2024 01:35,   0.00   ,   0.00   ,   0.00   ,   0.00   , 266.00   , 266.00   ,   0.00   ,   0.00   ,
18.05.2024 01:40,   0.00   ,   0.00   ,   0.00   ,   0.00   , 280.00   , 280.00   ,   0.00   ,   0.00   ,
18.05.2024 01:45,   0.00   ,   0.00   ,   0.00   ,   0.00   , 172.00   , 172.00   ,   0.00   ,   0.00   ,
18.05.2024 01:50,   0.00   ,   0.00   ,   0.00   ,   0.00   , 114.00   , 114.00   ,   0.00   ,   0.00   ,
18.05.2024 01:55,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 02:00,   0.00   ,   0.00   ,   0.00   ,   0.00   , 248.00   , 248.00   ,   0.00   ,   0.00   ,
18.05.2024 02:05,   0.00   ,   0.00   ,   0.00   ,   0.00   , 278.00   , 278.00   ,   0.00   ,   0.00   ,
18.05.2024 02:10,   0.00   ,   0.00   ,   0.00   ,   0.00   , 232.00   , 232.00   ,   0.00   ,   0.00   ,
18.05.2024 02:15,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 02:20,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 02:25,   0.00   ,   0.00   ,   0.00   ,   0.00   , 222.00   , 222.00   ,   0.00   ,   0.00   ,
18.05.2024 02:30,   0.00   ,   0.00   ,   0.00   ,   0.00   , 282.00   , 282.00   ,   0.00   ,   0.00   ,
18.05.2024 02:35,   0.00   ,   0.00   ,   0.00   ,   0.00   , 272.00   , 272.00   ,   0.00   ,   0.00   ,
18.05.2024 02:40,   0.00   ,   0.00   ,   0.00   ,   0.00   , 152.00   , 152.00   ,   0.00   ,   0.00   ,
18.05.2024 02:45,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 02:50,   0.00   ,   0.00   ,   0.00   ,   0.00   , 110.00   , 110.00   ,   0.00   ,   0.00   ,
18.05.2024 02:55,   0.00   ,   0.00   ,   0.00   ,   0.00   , 288.00   , 288.00   ,   0.00   ,   0.00   ,
18.05.2024 03:00,   0.00   ,   0.00   ,   0.00   ,   0.00   , 272.00   , 272.00   ,   0.00   ,   0.00   ,
18.05.2024 03:05,   0.00   ,   0.00   ,   0.00   ,   0.00   , 210.00   , 210.00   ,   0.00   ,   0.00   ,
18.05.2024 03:10,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 03:15,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 03:20,   0.00   ,   0.00   ,   0.00   ,   0.00   , 236.00   , 236.00   ,   0.00   ,   0.00   ,
18.05.2024 03:25,   0.00   ,   0.00   ,   0.00   ,   0.00   , 284.00   , 284.00   ,   0.00   ,   0.00   ,
18.05.2024 03:30,   0.00   ,   0.00   ,   0.00   ,   0.00   , 256.00   , 256.00   ,   0.00   ,   0.00   ,
18.05.2024 03:35,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 03:40,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 03:45,   0.00   ,   0.00   ,   0.00   ,   0.00   , 142.00   , 142.00   ,   0.00   ,   0.00   ,
18.05.2024 03:50,   0.00   ,   0.00   ,   0.00   ,   0.00   , 298.00   , 298.00   ,   0.00   ,   0.00   ,
18.05.2024 03:55,   0.00   ,   0.00   ,   0.00   ,   0.00   , 268.00   , 268.00   ,   0.00   ,   0.00   ,
18.05.2024 04:00,   0.00   ,   0.00   ,   0.00   ,   0.00   , 156.00   , 156.00   ,   0.00   ,   0.00   ,
18.05.2024 04:05,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 04:10,   0.00   ,   0.00   ,   0.00   ,   0.00   , 126.00   , 126.00   ,   0.00   ,   0.00   ,
18.05.2024 04:15,   0.00   ,   0.00   ,   0.00   ,   0.00   , 304.00   , 304.00   ,   0.00   ,   0.00   ,
18.05.2024 04:20,   0.00   ,   0.00   ,   0.00   ,   0.00   , 270.00   , 270.00   ,   0.00   ,   0.00   ,
18.05.2024 04:25,   0.00   ,   0.00   ,   0.00   ,   0.00   , 238.00   , 238.00   ,   0.00   ,   0.00   ,
18.05.2024 04:30,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 04:35,   0.00   ,   0.00   ,   0.00   ,   0.00   , 112.00   , 112.00   ,   0.00   ,   0.00   ,
18.05.2024 04:40,   0.00   ,   0.00   ,   0.00   ,   0.00   , 178.00   , 178.00   ,   0.00   ,   0.00   ,
18.05.2024 04:45,   0.00   ,   0.00   ,   0.00   ,   0.00   , 292.00   , 292.00   ,   0.00   ,   0.00   ,
18.05.2024 04:50,   0.00   ,   0.00   ,   0.00   ,   0.00   , 272.00   , 272.00   ,   0.00   ,   0.00   ,
18.05.2024 04:55,   0.00   ,   0.00   ,   0.00   ,   0.00   , 178.00   , 178.00   ,   0.00   ,   0.00   ,
